,Brand,Color,Age Range (Description),Special Feature,Weight Limit,Number of Wheels,Model Name,Wheel Material,Frame Material,Item Weight,Handlebar Type,Handle Height,Wheel Size,Wheel Type,Suspension Type,Grip Type,Brake Style,Warranty Type,Charging Time,Product Dimensions,null,Item Package Dimensions L x W x H,Package Weight,Brand Name,Warranty Description,Material,Suggested Users,Manufacturer,Part Number,Style,Included Components,Size,Sport Type,Price,Product Name,Product Rating,Recommended Uses For Product,Package Dimensions,Country of Origin,ASIN,Item model number,Batteries,Best Sellers Rank,Customer Reviews,Department,Number of Items,Item Dimensions LxWxH,Model Year,Team Name,Hand Orientation,Grip Size,Batteries required,Import,Skill Level,Deck Length,Deck Width,Load Capacity,Rotation Direction,Number Of Items,Bike Type,Manufacturer recommended age,Vehicle Service Type,Pattern,Mounting Type,Strap Type,Capacity,Closure Type,Handle Type,Shell Type,Power Source,Resistance Mechanism,Maximum Weight Recommendation,Maximum Height,Minimum Height,Number of Resistance Levels,Number of Pieces,Exterior Finish,Handle Material,Unit Count,Theme,Is Discontinued By Manufacturer,Release date,Maximum height recommendation,Material Type,Additional product features
0,Razor,Green,Adult,Lightweight,120 Pounds,2,Power Core E90 Electric Scooter,Polyurethane,Alloy Steel,22 Pounds,The height of the handlebars is not adjustable,32.9 Inches,1 Millimeters,Solid,Front Suspension,Foam,Front Braking,90-day Warranty,80 minutes,"33""L x 13""W x 31.75""H",10 Miles,33 x 13.7 x 8.25 inches,11.2 Kilograms,Razor,"This Razor product is produced for sale in the United States and Canada. The Razor warranty for customers who intend to use it outside of the United States and Canada is not applicable. Razor products produced for and sold in international channels are warrantied as applicable in such foreign countries. Call +1 866 467 2967 or email customersupport@razorusa.com for more details regarding Razor products that require service, were purchased in the United States or Canada, and are now outside the United States or Canada. On these products, which require service, consumers are responsible for all costs including shipping, resulting taxes, duties of replacement parts and local power adapters at the owner’s expense., 90 day Limited Manufacturer",Other,Unisex-teen,"Razor USA, LLC",13111416,Scooter,"Power Core E90, battery charger, and owners manual",One Size,"Camping & Hiking, Outdoor Lifestyle",97,"Razor Power Core E90 Electric Scooter for Kids Ages 8+ - 98w Hub Motor, Up to 10 mph and 65 min Ride Time, for Riders up to 120 lbs",4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gotrax,Black,,"Dual Rear suspensions, Non Slip Deck, Lightweight, Adjustable Seat Height, Carry Basket, Drum Drum Brakes",264 Pounds,2,ASTRO,Rubber,High strength steel,67.2 pounds,Adjustable,,,Pneumatic,Dual Rear suspensions,,Drum Drum Brakes,365 Days,,,,,,,,,,"ZHE JIANG TAOTAO VEHICLES CO.,LTD",,,,,,399,"Gotrax ASTRO Electric Scooter with Seat for Adult Commuter,15.5 Miles Range&15.5Mph Power by 350W Motor, Folding Scooter with 14"" Pneumatic Tire& Comfortable Wider Seat, E-Bike with Carry Basket Black",4.8,"Cycling, Commuting",51.5 x 24 x 9.5 inches,China,B0C8CXNFGY,ASTRO,1 Lithium Ion batteries required. (included),"#8,699 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#56 in Sport Scooters","4.8
126 ratings
4.8 out of 5 stars",unisex-adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Gotrax,Matt Black,The electric scooter should never be used by children under the age of 13.ALL RIDERS UNDER 18 YEARS OF AGE:very important to get parental permission before riding,Foldable,220 Pounds,,GXL V2,Rubber,Aluminum,27 Pounds,Fixed,94 Centimeters,8.5 Inches,Pneumatic,No Suspension,Ergonomic,EABS + Disc Braking,Limited,4 Hours,"15""L x 6""W x 44""H",12 Mils,62 x 21.5 x 5 inches,13.98 Kilograms,Gotrax,365 days limited warranty,Aluminum,Unisex-adult,"ZHEJIANG TAOTAO VEHICLES CO., LTD",GXL V2,8.5inch 12miles,"User Manual, Charger",39.37x7.87x15,,279,"Gotrax GXL V2 Seris Electric Scooter, 8.5""/10"" Pneumatic Tire, Max 12/20mile Range, 15.5mph Power by 250W/350W Moter, All Aluminum Body,Digital Display and Cruise Control Foldable Escooter for Adult",4.2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,LINGTENG,Black,Kid,Light Up Wheels,110 Pounds,2,E8,Polyurethane,,10 Pounds,Adjustable,31.8 Inches,6 Inches,Solid,Dual Suspension,,Rear Braking,Limited,5 Hours,,10 Miles,26.7 x 11.8 x 6.6 inches,5.35 Kilograms,LINGTENG,1-year warranty,ABS,Unisex-Kid,LINGTENG,,E8,"CHARGER, SCOOTER, USER MANUAL, TOOLS",,,89,"LINGTENG Electric Scooter for Kids Age of 6-10, Kick-Start Boost Kids Scooter with Adjustable Speed and Height, Kids Scooter with Flash Wheel & Deck Lights（Black）",,,,,,,,,,,,0.03 x 0.01 x 0.03 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Schwinn,Black,Adult,"Non Slip Deck, Foldable, Kick Stand",175 Pounds,2,Tone,Rubber,Alloy Steel,11.7 Kilograms,Adjustable,,,,,,Front Braking,,5 Hours,,7.5 Miles,44 x 15.1 x 8.4 inches,12.02 Kilograms,Schwinn,Frames are guaranteed against manufacturing defects for a period of 1 year,Aluminum,unisex-adult,"Pacific Cycle, Inc.",,Tone 3,"Electric Scooter, Charger",Youth/Adult,"Cycling, Skateboarding",116,"Schwinn Tone Mens and Womens Electric Scooter, Fits Youth/Adult Riders Ages 13+, Max Rider Weight 175-220 Lbs, Max Speed of 15MPH, Lightweight, Folding, Locking Aluminum Frame",& FREE Shipping,,,,,,,,,,,35.43 x 17.32 x 39.76 inches,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,superfun,Black,Adult,Adjustable Handlebar Height,220 Pounds,,S1,Rubber,,16.65 Kilograms,,,8.5 Inches,Solid,Dual Suspension,,Front Braking,,4 Hours,,17.5 Miles,43 x 19.75 x 6.5 inches,16.65 Kilograms,superfun,2,Iron,unisex-adult,"Shenzhen Grandpower New Energy Development Co.,Ltd",S1,,1,,,399,"Electric Scooter 450W Powerful Motor,19Miles&19mph Speed and 8.5"" Solid Tires,Anti-Theft Lock,Wide Deck Portable & Folding e Scooter for Adults",4.2,,,,,,,,,,,5.9 x 42 x 20 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Segway,Black,Adult; Teen,"Regenerative Braking System, 10-inch pneumatic tires, Foldable",220 Pounds,2,Segway- Ninebot KickScooter MAX,Rubber,,23.5 Kilograms,Adjustable,47.4 Inches,10 Inches,Pneumatic,Dual Suspension,,Front drum brake+rear EABS,180-day warranty,6 Hours,"43.7""L x 18.6""W x 45.1""H",40 Miles,47.5 x 24.5 x 8.5 inches,24.49 Kilograms,Segway,1-year limited warranty,"Aluminum, Acrylic",Unisex-adult,"Ninebot (Changzhou) Tech Co., Ltd",G30P,Max Original (G30P),"Scooter, battery pack",Extra Large,,699,"Segway Ninebot MAX Electric KickScooter, 350W-1000W Motor, 25-43 Mi Long Range & 18.6-22 MPH, 10-inch Pneumatic Tires, Dual Braking System and Cruise Control, Electric Commuter Scooter for Adults",4.5,,,,,,,,,,1,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Phantomgogo,Red,Adult,Foldable,265 Pounds,2,Commuter R1,Rubber,Aluminum,37.5 Pounds,Adjustable,22.8 Inches,12 Inches,Pneumatic,,,Rear Braking,one-year warranty,4 Hours,,20 Miles,47.7 x 23 x 10.5 inches,23.5 Kilograms,Phantomgogo,1-Year Limited Warranty,Alloy Steel,unisex-adult,"Zhejiang Dingtu Technology Co.,Ltd",R1,Scooter,"Charger, R1 Electric Scooter",,,399,Phantomgogo Commuter R1 - Electric Scooter for Adults - Foldable Scooter with Seat & Carry Basket - 450W Brushless Motor 36V - 15MPH 265lbs Max Load E Mopeds for Adults,& FREE Shipping,,,,,,,,,,,47.7 x 23 x 10.5 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TODO,BLACK,,Foldable,220 Pounds,2,,Rubber,,,,,6.5 Inches,Solid,Front Suspension,,,,,,,46.35 x 11.6 x 7.9 inches,12.13 Kilograms,TODO,,,,ZheJiang AnShang Robot Co. LTD,S10,,,,,189,"Electric Kick Scooter, Max 15MPH Power by 250W Motor,12/15Miles Range, Commuting E-Scooter, 6.5"" Solid Tire,Foldable Scooter for Adults & Teens,Smart APP",4.1,,,,,,,,,,,37.4 x 5.3 x 43.9 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Hiboy,Black,Adult,"Portable, Foldable",220 Pounds,2,S2,Rubber,,29.5 Pounds,Foldable,,8.5 Inches,Solid,Rear Suspension,Foldable,"Front Braking, Rear Braking",Limited,5 Hours,"45.7""L x 17""W x 47.2""H",17 Miles,44.5 x 20.5 x 7 inches,17.85 Kilograms,Hiboy,12-month or 6-month warranty for different parts,Aluminum,unisex-adult,FREEMAN INTELLIGENT POWER INC,S2,S2,Lock,,,489,"Hiboy S2/S2 MAX Electric Scooter, 8.5""/10"" Tires, Up to 17/40.4 Miles Range, 350W/500W Motor & 19 MPH Portable Folding Commuting Electric Scooter Adults with Double Braking System and App",4.3,,,,,,,,,,,,,electrics scooter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
